published_at,brand,content,Customer ID,Question,Tenure Type,Management area,Age Group,Ethnicity,Property Type,Disability (No Data for 2023)
01/12/2024,ICS Survey,"Improving old kitchen fittings, bathrooms & insulation an uptodate news letter informing tenants what to expect on updating properties",,What is the one thing North Star Housing Group could do to improve their service?,General Needs,Stockton,45 to 54,,,
01/12/2024,ICS Survey,Do an insulation survey and improve insulation / window and door seals etc...,,What is the one thing North Star Housing Group could do to improve their service?,General Needs,Redcar,45 to 54,,,
01/12/2024,ICS Survey,Try to listen to customers,,What is the one thing North Star Housing Group could do to improve their service?,General Needs,Middlesbrough,35 to 44,,,
01/12/2024,ICS Survey,"To be able to see my account on line , ie rent , to be able to look at houses",,What is the one thing North Star Housing Group could do to improve their service?,General Needs,Stockton,55 to 64,,,
01/12/2024,ICS Survey,"Make an app so tenants can track rent, repairs etc. Other housing groups have them already",,What is the one thing North Star Housing Group could do to improve their service?,General Needs,Winston,35 to 44,,,
01/12/2024,ICS Survey,A working app or website. Hiring a Business Relationship Manager to fix internal issues across business groups and assist with digital transformation projects.,,What is the one thing North Star Housing Group could do to improve their service?,General Needs,Durham,25 to 34,,,
01/12/2024,ICS Survey,Waiting time in the phone queue !,,What is the one thing North Star Housing Group could do to improve their service?,General Needs,Darlington,55 to 64,,,
01/12/2024,ICS Survey,Maybe offer a welcome pack to new tenants,,What is the one thing North Star Housing Group could do to improve their service?,General Needs,Gainford,45 to 54,,,
01/12/2024,ICS Survey,More conrtrol of contractors,,What is the one thing North Star Housing Group could do to improve their service?,General Needs,Evenwood,45 to 54,,,
01/12/2024,ICS Survey,"We live in a relatively new build a block of 6 terraced houses and all six have creaky upper flooring, if you sat in the front room and someone is walking up stairs you can not hear the TV over the noise of some one walking up stairs, but love the house and the area.",,What is the one thing North Star Housing Group could do to improve their service?,General Needs,Darlington,55 to 64,,,
01/12/2024,ICS Survey,Maintenance referral and appointments,,What is the one thing North Star Housing Group could do to improve their service?,General Needs,Etherley,35 to 44,,,
01/12/2024,ICS Survey,Stop wasting money on repairs rather than replacing,,What is the one thing North Star Housing Group could do to improve their service?,General Needs,Evenwood,65 to 79,,,
01/12/2024,ICS Survey,Can't think of anything,,What is the one thing North Star Housing Group could do to improve their service?,General Needs,Staindrop,55 to 64,,,
01/12/2024,ICS Survey,Don't fix what isn't broken,,What is the one thing North Star Housing Group could do to improve their service?,General Needs,Consett,65 to 79,,,
01/12/2024,ICS Survey,Faster response to repairs perhaps?,,What is the one thing North Star Housing Group could do to improve their service?,General Needs,Cockfield,65 to 79,,,
01/12/2024,ICS Survey,Feedback information should ALWAYS be text or email.,,What is the one thing North Star Housing Group could do to improve their service?,General Needs,Stockton,55 to 64,,,
01/12/2024,ICS Survey,I am satisfield,,What is the one thing North Star Housing Group could do to improve their service?,General Needs,Middlesbrough,55 to 64,,,
01/12/2024,ICS Survey,Allow you to do minor changes property without permission,,What is the one thing North Star Housing Group could do to improve their service?,General Needs,Hartlepool,18 to 24,,,
01/12/2024,ICS Survey,Damp mould condensation priotise,,What is the one thing North Star Housing Group could do to improve their service?,General Needs,Middlesbrough,45 to 54,,,
11/03/2025,Stage 1 Complaint,"This tenant wants to raise a complaint, I’ve sent the below email to IW regarding the issue with the appointment.  However she said this has been going on for months, the bathroom she said is a mess and nothing is getting done. 

The initial problems with the leak in the bathroom was reported in November last year and its been non stop problems since trying to get the leak resolved and the flooring repaired.",PIPE0125100,Reason for complaint,General Needs,Stockton,36,White: English/Welsh/Scottish/Northern Irish/British,House,No disability
06/03/2025,Stage 1 Complaint,"I first reported an issue with the bathroom January 2024. We then had someone come look at the bathroom March 2024 and set out a plan of what needs to be done. 
It’s been a whole year since we have not been able to use our bathroom due to the work being done.
I call every few weeks and I am told the same thing. That someone would be out to do the final jobs as soon as possible. Someone then comes and does a little task, like the time a guy came just to hang up the shower curtain… really ?? I didn’t know you needed a professional to hang a shower curtain. They then leave saying someone else will be back to do the rest. They don’t come and I have to call again a week or two later practically begging for someone to get the job done. The operator I speak to every time seems to raise this with “Bash” and the companies that do the job and she gets back to me ensuring they will get it done but it’s the same cycle a week or two later. 

We are still waiting for: 
1) The Shower: it is half installed, the front comes off and it does not turn on (see attached image)
2) Sink: leaks. There’s water hitting the back wall under the sink (please see attached image. The hot water faucet also moves. 
3) Radiator: There is no radiator 
4) Window: window in the shower is missing a panel at the top (see attached image). 
5) Toilet: is not stable once again! (See attached video) 

There might be more tasks that need to be carried out but we don’t know. 

This really is getting out of hands. We’re paying for a house with two bathrooms but we have not been able to use one for a year. ",ALBE0101600,Reason for complaint,General Needs,Middlesbrough,49,Asian or Asian British: Other,House,No disability
03/03/2025,Stage 1 Complaint,"T called to find out why he has appt on phone for the 28th of this month when he has booked in for the 7th with us last friday when no one came out from appt made on the 19th, 0800 had adv they didnt have the appt, now when Ive called 0800 they dont have appt in from the 7th or th 28th and advised T has to wait to speak to Ideal,, T not happy as he has taken another day off work this froday for appt, he also asked me to check eng has the part and I was told its for ieal to organise with T",MEMO0100300,Reason for complaint,General Needs,Butterknowle,58,White: English/Welsh/Scottish/Northern Irish/British,Bungalow,No disability
28/02/2025,Stage 1 Complaint,"I am writing to complain about the increased service rate.
Over the summer we explained that we tend to the court ourselves maintaining it to a high standard. Once a month a man in a van will park up and sit for 10 min before taking a photo of a garden, then drive away. You expect me to pay for him to do this?! We have all come together to take care of our communal space and have ALL stated that we completed the survey you sent out to stop the service charge, yet you say only 2 participated? Regardless of the amount of residents that completed the survey You, Us, Myself are paying a company to carry out work which they do not do as it has already been done by ourselves!!! We shall take this matter to the landlords ombudsman if this issue is not resolved.",LARV0200300,Reason for complaint,General Needs,Skinningrove,49,White: English/Welsh/Scottish/Northern Irish/British,House,No disability
26/02/2025,Stage 1 Complaint,"T has been waiting since November end of, for the heater to be fied, 1 original job in november, 1 recall in december and follow on work in January, T feels long time between appointments",DIAL0102900,Reason for complaint,General Needs,Thirsk,76,White: English/Welsh/Scottish/Northern Irish/British,Flat,Disability
24/02/2025,Stage 1 Complaint,"I’ve just spoken to Natasha, she’s confirmed that NWB have told her the drain definitely belongs to NS.
She said she feels she has to raise a formal complaint and its regarding Orbis and NS:
She called Orbis ooh and she said the call handler she felt was very rude he put her on hold for quite a long time and told her that she would have to pay for someone to come out to the drain, she said that NWB told the handler that this was a NS issue but that hadn’t been passed on to anyone else and she’s been waiting for someone to come out when NWB had cancelled it. 
 
She also wants to complain that the issue with damp and the drains has been ongoing for around a year, she feels that we keep sending people out but nothing is getting resolved, she’s constantly having to call us to chase up what is happening she’s taking a lot of time of work for appointments and losing money, the damp has returned and the room can’t be used yet she’s paying full rent. ",VERE0101600,Reason for complaint,General Needs,Barnard Castle,49,White: English/Welsh/Scottish/Northern Irish/British,House,No disability
21/02/2025,Stage 1 Complaint,"Tenant has had issues with the toilet for over a week, tenant is vulnerable and has had to use toilet facilities at Tesco and had to stay in (with her staff team) for many appointments that either didn’t happen or the issue was not resolved.  
IW attended on an emergency yesterday, did a fix of some sort but the toilet is still leaking all over the bathroom floor when flushed. There is a return appointment booked for today but staff don’t trust that it will happen. Tenant is really anxious over the whole thing and staff extremely frustrated with the service received.
",ELWI0201100,Reason for complaint,Supported,Stockton,66,White: English/Welsh/Scottish/Northern Irish/British,Bungalow,No disability
20/02/2025,Stage 1 Complaint,It's now been 6 months that we reported leak in roof with damp patches heading towards light fitting in passage and water leaking outside back door which I no longer can use as water been freezing over in winter and iv fell on twice going up to my shed.my disabled husband can no longer get round the back to property we find this no longer accessible and acceptable in your response to our requests for repairs. We have been in touch with our solicitors about your response to not providing the repairs to which we are currently not getting and your service we find disgusting for which we are paying full rent  we also have taped response from yourselves to which we are lied to about time and time again we are asking now for to be compensated for your very poor service and love to here your response to our need,STAT0201800,Reason for complaint,General Needs,Gainford,54,White: English/Welsh/Scottish/Northern Irish/British,Bungalow,No disability
18/02/2025,Stage 1 Complaint,"I would like to make a formal complaint about the repair of my oil heating i.e. sonic watchman part. This was first reported on Thursday 26th September 2024. 
   A first visit was made to my home on Monday 30th September 24, where i explained the watchman was not showing the correct level of oil. It was showing level 7 which i knew was not correct. I have had the oil heating for approximately 6 years and I normally order oil twice yearly, around April & September months. Therefore, i knew that the watchman was not working and i was due to order my oil. 
   Further visits were made on 28th October & 25th November 24 where the oil was checked with a stick and stated that i had enough oil in the tank. The watchman was still showing level 7 again. Bearing in mind, the last time i ordered my oil was the 5th May 2024 and the fact the watchman level had not moved in over 2 months, this was ignored. I would like it to be noted, that I generally have my oil on for 11 hours a day. 
   After 3 visits it was stated that another visit would be booked in to check the oil. This left me very anxious and worried about whether, i would have enough heating for the Christmas period. Finally on the 7th January 25 the oil was checked again and confirmed that the watchman needed replacing. I then, had to chase up the repair again, taking another 3 weeks. The part was fitted on the 30th January 25 which turned out to be a five minute job. The new watchman then showed the oil was at level 3. When the oil was first installed, i was informed that i should order oil at level 4. As a result of the failure to order the watchman sooner,  my radiators failed to heat up and i was then left with no heat or hot water for 4 days until the oil arrived on the 4th February 25. This would never have happened, if the part was ordered at first instance. 
  Due to health problems, it is vital, that i have my heating on daily for long periods of time. The repair took 4 months, 5 visits and repeated refusals",FALL0101600,Reason for complaint,General Needs,Cockfield,76,White: English/Welsh/Scottish/Northern Irish/British,House,Disability
18/02/2025,Stage 1 Complaint,"GSC on Friday advised that the boiler is condemned due to high readings of CO & CO2, she said the engineer advised her this had the same fault last year and shouldn’t have been signed off. Tenant called back on 17/02 to chase up the part and 0800 have advised this won’t be in until 26/02 T not happy as she was told it would be due on 18/02. 0800 attended on 18/02 and have turned the boiler on, T has been told that he’s a lead engineer and the one who initially attended is just learning. T is very concerned about the boiler and doesn’t understand how this keeps happening with the same fault and high readings, also how can it be condemned by 2 engineers and now can just be turned back on without the part that’s needed being fitted.  T has asked that a formal complaint is raised and has said if she doesn’t get satisfactory answers she is taking this further as believes this is dangerous.",ROTH0101100,Reason for complaint,General Needs,Darlington,65,White: English/Welsh/Scottish/Northern Irish/British,House,No disability
14/02/2025,Stage 1 Complaint,"Tenant had reported her radiator was leaking on Thursday 6th Feb. 0800 attended Monday 10th and said a new part was required, he would order the part and someone from 0800 would contact her the next day to book the FOW back in with her. 0800 hadn't rung her on the Tuesday so she rang Northstar to find out what was happening. We spoke to 0800 and relaid the booking to the tenant which was 3-5pm on Thursday 13th. The tenant stated that the operative didn't arrive as planned but at 9.30pm they received a text message from 0800 operative stating he would be with them within half an hour but the tenants were unable to reply to the text to say they didn't want the operative to attend as they were already in bed as tenant was getting up at 5am the following day for work. At 9.50pm the operative knocked on the door so they spoke to him through the window to say they didn't want him to come and fit the part that night and he advised someone would be in touch to rebook the appointment. The tenant wants to raise a complaint regarding the process as she thinks it is unacceptable for a contractor to arrive at their property so late and that they didn't do as they said so she had to chase the appointments.",MANS0108200,Reason for complaint,General Needs,Thornaby,55,White: English/Welsh/Scottish/Northern Irish/British,House,No disability
13/02/2025,Stage 1 Complaint, I can send photos of the window over to prove it's still the old window. See attached   I've also sent the pipe work over behind my washing machine that water has been coming threw for the last 10 years+   due to it missing half the pipe work. Only realised after buying a new washing machine.  So now I know where the bad smell has been coming from all this time . This is now not getting repaired till the 5th of March.  I'd like to put a complaint in. Things either take to long or don't get repaired at all.  And this has been on going for years .,MOOR020080A,Reason for complaint,General Needs,Redcar,33,White: English/Welsh/Scottish/Northern Irish/British,House,No disability
13/02/2025,Stage 1 Complaint,issues with leak,CARD0101200,Reason for complaint,General Needs,Darlington,35,White: English/Welsh/Scottish/Northern Irish/British,House,No disability
13/02/2025,Stage 1 Complaint,Appointment regarding flooring,WEST0304300,Reason for complaint,General Needs,Middlesbrough,39,White: English/Welsh/Scottish/Northern Irish/British,House,No disability
12/02/2025,Stage 1 Complaint,"“Boiler man has found a serious gas leak downstairs. May I have your top dogs name so I can lodge a complaint please. Risk to life is that and there's another leak from the old boiler which was reported. 
That's not on under any circumstances and I'd like to put in an official complaint. ",KEND0202600,Reason for complaint,General Needs,Hartlepool,42,White: English/Welsh/Scottish/Northern Irish/British,House,No disability
11/02/2025,Stage 1 Complaint,"T auntie called adv T iss still waiting for the rad to be installed, has been to  see her very upset as he is now in debt using heater that we  gave him to conteract the condensation, called 0800 who advised that they are awaiting a date and didnt want to let T know date until they were sure, sounded like T was to lift the flooring to make access but T auntie is advising that her parnter had same job done and 0800 installer lifted flooring and boards etc, feels excuses are being made, I have asked surveyor for advice as unsure of the process that should be followed here told T auntie I will call her back when I have response",CHAP0101200,Reason for complaint,General Needs,Skinningrove,28,White: English/Welsh/Scottish/Northern Irish/British,Flat,No disability
07/02/2025,Stage 1 Complaint,"Tenant is paying rent and got the keys for the house she advised on the 16th December but been unable to move in. 
She has the following work outstanding:
•	Doors front and back as water leaks through
•	Bathroom window
•	Electric tripping  needs following up – said someone was out a week ago and said they would be back and hasn’t herd anything since
•	Stop tap leaking
 
She was calling as she advised surveyor advised on Wednesday that the doors would be fitted next Wednesday (if she didn’t mind what colour and she said as long as matching she didn’t mind) and has moved carpets to be fitted to Thursday. She has spoken to both Ian Williams, ourselves and Swainstons today and Swaisntons advise they have no date for the job. She advised they have been out to measure twice as she has been there both times, they just said they had a date for the bathroom window and that was all. She wants to know what is happening as tired of chasing and the outstanding work and the miss communication and wants a call on Monday morning as she needs to know if she has to move the carpet fitting again or not.",CRES0301700,Reason for complaint,General Needs,Etherley,20,White: English/Welsh/Scottish/Northern Irish/British,House,No disability
07/02/2025,Stage 1 Complaint,"My tenants are having various damp and condensation issues throughout their top floor flat. 
Issues are below:

Lounge- Mould spots on lounge ceiling - IW attended around Christmas and advised tenants there is nothing they can do, they've been in the loft and the tiles and insulation look okay in this particular area, despite the mould spots getting worse. 

Bedroom - mould spots across ceiling.. following the initial visit around Christmas time, IW returned for a second visit and put some insulation in the loft space above the bedroom. This is now worse than before.

Bathroom - The fan in the bathroom leaks rain water in, tenant has been told that the pipe to the fan on the roof is not sealed. They've also said that the tiles on the building are the incorrect tile, because of the pitch/angle of the roof the tiles should be pan tiles and they aren't. 

The tenants are deeply unhappy as the appointment to address the issues with the water ingress in the bathroom has been moved and rearranged three times now. 

Secondly - The lounge and bedroom remain in a worse state than before IW attended. 

The tenants have said that there is no communication between the various Repair guys that attend and the tenants now have no idea what the new rearranged visit is for on the 17th Feb, I.e are they looking at the fan or the roof as both trades are conflicting with one another's info when visiting.

This is also causing distress due to the multiple visits, and tenant's hospital appointments.

I myself rang IW to ask that the appointment which was rearranged for 17th Feb after the tenant waited in all day to be notified late afternoon that they would not be coming due to running over on a previous job, and was told that if a cancellation becomes available they will contact the tenants otherwise the apt will be between 8 and 1pm on the 17th Feb..

The tenant wishes to make a formal
Complaint about their experience with IW & D&M",RUSK0101800,Reason for complaint,Housing for Older People,Stockton,74,,Flat,No disability
06/02/2025,Stage 1 Complaint,"They asked to speak to me at the end of the meeting advising they are going to be going to a solicitor and the Housing Ombudsman due to the ongoing issues with their windows and doors. 
 
Tenant has advised that due to where their properties are they are very exposed to the elements and due to having ill fitting windows, her electricity bill (electric only property) is in excess of £800 a quarter. She has been dealing with Knights directly but has stopped receiving messages from the operative now. She has also said that she has had to tape up her windows, had to use a crow bar to open them in the summer, and use a ladder to push it shut from outside in the winter. Her front door key will not release once turned and she has to use the back door as her only means of access. I asked if she has put a formal complaint in before and she has some memory of speaking with you in the past but doesn’t feel like anything has been resolved. 
 
Tenant said she cannot use her window at all or the pane of glass will fall out. 
 
They have both said they have had numerous people out over the years, they come not knowing what the job is, with out the right parts, or don’t fit parts properly so the issues are never resolved.  They have been promised storm proof windows in the past but nothing has come of it. 
 ",BLAC0102800,Reason for complaint,General Needs,Northallerton,61,White: English/Welsh/Scottish/Northern Irish/British,House,No disability
06/02/2025,Stage 1 Complaint,"They asked to speak to me at the end of the meeting advising they are going to be going to a solicitor and the Housing Ombudsman due to the ongoing issues with their windows and doors. 
 
Tenant advised that due to where their properties are they are very exposed to the elements and due to having ill fitting windows, her electricity bill (electric only property) is in excess of £800 a quarter. She has been dealing with Knights directly but has stopped receiving messages from the operative now. She has also said that she has had to tape up her windows, had to use a crow bar to open them in the summer, and use a ladder to push it shut from outside in the winter. Her front door key will not release once turned and she has to use the back door as her only means of access. I asked if she has put a formal complaint in before and she has some memory of speaking with you in the past but doesn’t feel like anything has been resolved. 
 
Tenant said she cannot use her window at all or the pane of glass will fall out. 
 
They have both said they have had numerous people out over the years, they come not knowing what the job is, with out the right parts, or don’t fit parts properly so the issues are never resolved.  They have been promised storm proof windows in the past but nothing has come of it. 
",BLAC0103200,Reason for complaint,General Needs,Northallerton,56,White: English/Welsh/Scottish/Northern Irish/British,House,No disability
05/02/2025,Stage 1 Complaint,"Tenant was advised roofers were attending 24th, appointment delayed due to high winds and rescheduled for 28th. Tenant is vulnerable due to mental health. Waited in as access is through a locked gate and loft hatch in her property. Roofers failed to attend as promised.",COAT0110401,Reason for complaint,General Needs,Redcar,32,White: English/Welsh/Scottish/Northern Irish/British,Flat,No disability
04/02/2025,Stage 1 Complaint,Repairs outstanding following damp works,GRAN0206200,Reason for complaint,General Needs,Middlesbrough,42,White: English/Welsh/Scottish/Northern Irish/British,House,No disability
04/02/2025,Stage 1 Complaint,"Just wanted to see if you wanted me to to start this complaint as a service request:

T advised that IW have been out to a callout last night and they have found that 0800 have drilled through a pipe last week, which IW has just found last night and caused the flood. T said that this was attended by 0800 last Thursday, they had come to do a normal repair but have caused the damage and not told anyone, the IW engineer has managed to fix it though.

T advised that she would like to make formal complaint not service request and that she would like the acknowledgement posting out to her.
T would like the outcome of the complaint to be that: the man need to lose his job or have more training, she has been told the leak could have been worse.
Says that there is picture of damage done to pipe and to the ceiling, T said she is going to wait a week to see how it drys out and then call us to get the ceiling sorted out.
",SCAR0101200,Reason for complaint,General Needs,Thornaby,35,White: English/Welsh/Scottish/Northern Irish/British,House,No disability
03/02/2025,Stage 1 Complaint,"
I’m currently sat with the tenants  who would like to make a formal complaint regarding the upkeep of all the repairs within their home. 
I have completed this email on their behalf which was from a group discussion of why they are not happy. 
 
 
Firstly they are very unhappy about how long it has taken to do the porch in the hallway, this has been on going for over a year and has been patched up twice however have been told they need a whole new roof and have not had any communication to when this will be completed. The wood and paint work is coming away and the ceiling has large damp patches on which is not what they want in their home. 
 
Secondly only two fire doors have been completed within the home and the rest of them need completing again with no date of when this will be rectified.
 
Thirdly 
A thermostat needs replacing someone was going to contact but have had no correspondence from yourselves. ",MALV010280X,Reason for complaint,,Middlesbrough,,,Block,
28/01/2025,Stage 1 Complaint,"The tenant rang to say she wanted to make a complaint about IW as they have not rectified the issues with her electrics and she claims that she has lost over £100 worth of food because she has been intermittently left without power since Thursday 22nd Jan. 

I have contacted  IW for Follow on works info but yet to get a response but I am conscious that the tenant is waiting for an answer from us. I said I needed to consult with management about her request for compensation particularly as she mentioned the food in her fridge was purchased with a voucher from NS and she has no money.

",DOND0102400,Reason for complaint,General Needs,Thirsk,37,White: English/Welsh/Scottish/Northern Irish/British,House,No disability
28/01/2025,Stage 1 Complaint,"Please Open an investigation into the random use of customers' phone numbers and addresses.
 
Especially for those who have health problems please
 
I am a person who respects appointments and I do not deserve to bear the mistakes of the other party with false appointments or without concern for the time that suits the customer’s health, whether morning or afternoon.",KENS0107300,Reason for complaint,General Needs,Middlesbrough,54,Black or Black British: Other,House,No disability
23/01/2025,Stage 1 Complaint,"I’ve recently had an Ian Williams man attend 9-50 pm on Tuesday 21st to respond to my wet room issues 
He said he’d order the pump and it would be fitted the next day 
I was at a tenants meeting at North Star that day so asked to chase it up 
I rang today as was told someone would come today 
The guy also rang me and attended when my son was home today 

It’s now done working well and I now no longer need the screen doors attending to as the pumps taking the water away 

My concern is the lack of communication. 

The guy who kindly come at first did not sadly rebook it for fitting 

I am a vulnerable and have it on my Northstar notes 

I have now been unable to shower for 4 days and my medial issues mean I need to shower 2 x daily 
",HIGH0219400,Reason for complaint,General Needs,Stockton,60,White: English/Welsh/Scottish/Northern Irish/British,Bungalow,Disability
20/01/2025,Stage 1 Complaint,Photographs sent showing damp in property,LEIN0104300,Reason for complaint,General Needs,Middlesbrough,40,Asian or Asian British: Other,House,No disability
15/01/2025,Stage 1 Complaint,"Had some quite lengthy conversation with this T today, jobs that haven’t gone to plan, T said she had previously put in stage 1 but had withdrawn when they got dates, however has advised would like to make a new formal complaint about the issues she has had yesterday and today.
 
Eng went to do the insulation yesterday and the flooring due today, however started with flooring and they went through the pipework which has resulted in an emergency job today for 0800 and IW, they are both there now fixing the pipework and making safe flooring IW eng is coming back Saturday to complete and make good the flooring.
 
However T said she wanted a stage 1 for the incompetence. Ans also as 0800 attended today to fix pipework they came in and advised that the hot water wasn’t working asked them how long they felt they could go without the hw, T said could not go without, apparently it is the motor that was needed and T said that she was told this weeks ago but the eng decided to fir circuit said it wasn’t motor, eng today has called manager and the T is saying eng was told we weren’t throwing any more money for parts at this as the T was getting a new system, when eng has checked there is no date for new system, so T complaint is how long would we have left her without HW again and how can the manager make decision to say that, as it turns out eng has fitted the part so they have HW.
 
I double checked and she does want this formal, but think its for 2 contractors.
",FALL0104200,Reason for complaint,General Needs,Cockfield,70,White: English/Welsh/Scottish/Northern Irish/British,House,No disability
13/01/2025,Stage 1 Complaint,Issues with repairs and support staff on site,ZETL0200708,Reason for complaint,Agency Managed,Middlesbrough,41,White: English/Welsh/Scottish/Northern Irish/British,Flat,No disability
10/01/2025,Stage 1 Complaint,"Issues with IW rearranging appointments, poor communication",ORCH0100200,Reason for complaint,General Needs,Gainford,48,White: English/Welsh/Scottish/Northern Irish/British,Bungalow,No disability
10/01/2025,Stage 1 Complaint,"WO0003625 was raised on 22nd November 2024. An Ian Williams Operative attended on 9th December and advised FOW needed. The FOW has been re-scheduled 3 times frustrating the Customer. An appointment was made for 9th January 2025. Customer called Ian Williams at 1715 on the 9th to chase up to be told that the Operative had called in sick - no-one from Ian Williams had contacted Customer to advise the appointment wasn't going ahead. Now re-scheduled for 15th January
Also WO0002654 was raised on 11th November as the wc was leaking through the ceiling. Customer has had many further visits from Ian Williams but the issue remains. The wc has caused damage to ceiling below as well as damaging surrounding floor. On one occasion Customer reports that a joiner was sent to complete the repair not a plumber - this repair failed immediately. Customer has taken numerous days off work for these issues to remain or to be cancelled with no notice at all and feels the quality of workmanship and lack of communication from Ian Williams is uncalled for. Customer available to discuss her grievance any time after 1430. Customer wishes for all repairs to be completed fully as a priority and recompense for days taken off work.",BROU0400300,Reason for complaint,General Needs,Staindrop,52,White: English/Welsh/Scottish/Northern Irish/British,House,No disability
09/01/2025,Stage 1 Complaint,"Tenant has had a few heating repairs since mid December for no heat or hot water. 0800 have been out a on 3/4 occasions and it only works for a couple of days then there are issues again. Tenant is vulnerable due to medical condition and needs the heat. Sometimes the boiler will not fire up , other times it cuts out even though the thermostat is set high. He is also having issues with getting heat from some radiators (IW have recently taken rad covers off to get more heat out). Complaint due to ongoing issues and wants the bigger picture of the problems considering.",ELWI0200500,Reason for complaint,Supported,Stockton,36,White: English/Welsh/Scottish/Northern Irish/British,Bungalow,No disability
09/01/2025,Stage 1 Complaint,"I have been transferred from a supported accommodation to General needs housing as this was being disbanded, since the transfer I have have made numerous complaints regarding my neighbour and have lots of video footage of anti social behaviour which includes threatening behaviour and lots of other issues, all have been reported to housing and the police. I have requested a move for me and my partner and have had meetings to discuss this, my texts are Emails are ignored, the council housing team have stated North Star have a duty as a landlord to make sure a tenant is enjoying peaceful enjoyment of their home and should look to do a management move; however, this could be anywhere. Please could you help as I feel unsupported and recently again been targeted with the words \""grass\"" spray painted over my windows and door. I am actively bidding on Tees Valley home finder to no avail, my partners and my own mental health has deteriorated significantly due to this and I\'m at a loss as to what to do next, more details can be provided on contact",HIGH010740C,Reason for complaint,General Needs,Redcar,18,,Flat,No disability
07/01/2025,Stage 1 Complaint,Tenant has rang following ongoing issues with her boiler - has advised that she has no heating or hot water and has had multiple repairs done over the last year,PARK020340D,Reason for complaint,General Needs,Middlesbrough,52,Asian or Asian British: Other,Flat,No disability
02/01/2025,Stage 1 Complaint,Complaining about 0800 gas servicing appointment. Tenant informed 0800 via provided email address that they were not available on pre arranged day. Also phoned 0800 and they confirmed they had the email request to rearrange but still someone called on the date the tenant was not available and they then received a no access letter and are annoyed as it was not their fault. Service is now due on 7/1/25. - See complaints letter and attachments received in post 2.1.25 in the timeline.,GARD0100600,Reason for complaint,General Needs,Butterknowle,77,White: English/Welsh/Scottish/Northern Irish/British,Bungalow,No disability
02/01/2025,Stage 1 Complaint,"Tenant states that she requested a lock style change to a more secure lock on her property on 21/11/24 but has not heard anything since. She is saying it is for safety concerns as current lock is just a turn latch on the inside rather than a key and her young son can open it and wants a key lock from the inside so she can lock and remove the key - see email attached.
",PLAN0104500,Reason for complaint,General Needs,Sunderland,38,White: English/Welsh/Scottish/Northern Irish/British,House,No disability
23/12/2024,Stage 1 Complaint,"We have tried on multiple occasions over the last few months approx 6 months to have our double drive gates attended to, we have had surveyor put, people out to measure, and constantly emailing backwards and forwards and now no response to emails regarding this matter, the double gate is rotten and the surveyor has put holes into the wood to check for rot which it is, they are unusable due to risk of falling away from hinge in wall and hitting a child or a car. We are now complaining as feel this has been in going for so long and over recent month no communication from north star in relation to this despite the last email saying I will chase it up in 48 hours.",TGRE0104500,Reason for complaint,General Needs,Aycliffe - Newton Aycliffe,47,White: English/Welsh/Scottish/Northern Irish/British,House,No disability
18/12/2024,Stage 1 Complaint,"Damage to the tiles at the back of the bath as the engineer stood on there to reach the ceiling. Ceiling all flaking away, ceiling paint half way down the freshly painted walls, thick paint left all over the bathroom, paint drips all over the floor and in my bath and sink. Logged a complaint with Ian Williams yesterday and awaiting a call from a manager-was told within 24 hours I would receive a call back, so far-nothing! 
Tried calling North Star whilst at work today but was on hold for too long then had to go back, have photo evidence of everything. Really not happy, caused damage and the ceiling actually looks work than before he came. Wish he'd never touched it now, will cost me more time money and effort in trying to resolve the painting issue. But tiles that are broken that will now cause water to seep through and cause water damage to floors and ceilings on ground floor.",PRIM0100700,Reason for complaint,General Needs,Darlington,38,White: English/Welsh/Scottish/Northern Irish/British,House,No disability
16/12/2024,Stage 1 Complaint,"Tenant very angry and annoyed at further delays to getting new back door fitted.  Seems there were previous issues with incorrect measurements being taken for the new back door.  Latest issue is IW got this job fitted in for today only for IW to ring tenant this morning to advise they hadnt realised that it was a 2 man job for 3 hrs, therefore job has been rebooked for Wed 8 Jan which ten is not willing to wait for.  Ten says hes been lied to by NS and that hes sick of being given false properties.",WOOD010870B,Reason for complaint,General Needs,Middlesbrough,30,Other Ethnic Group: Arab,Flat,No disability
16/12/2024,Stage 1 Complaint,delay in roofing repairs,SHIR0301300,Reason for complaint,General Needs,Evenwood,51,White: English/Welsh/Scottish/Northern Irish/British,House,No disability
13/12/2024,Stage 1 Complaint,"We had our key worker session yesterday. I'm getting care arranged for myself due to having autism, depression, and anxiety. She asked me why I need care, and I told her that I struggle with remembering to do things like washing myself, wash my clothes, take my medication, and sometimes even eat. She asked, ""how can you forget to do something so basic?"" before telling me that even if I don't notice, other people will notice if I smell.

I already find it difficult to go out and do things, which she already pressures me to do, but now I have even more anxiety about going out due to worrying about if I smell. Her comments have left me feeling embarrassed and ashamed for having support needs. 

To resolve this, I would like to request a new key worker as soon as possible. I'm scared that by making this complaint I'll be made to leave my supported accommodation due to being homeless, but I truly cannot work with her anymore. Please could I have a new keyworker?
",RAIN010600K,Reason for complaint,Supported,Middlesbrough,26,White: English/Welsh/Scottish/Northern Irish/British,Flat,No disability
