publishedx_at,brand,contentx,Customer Idx,Question,Tenure Typex,Management areax,Age Groupx,Ethnicityx,Property Typex
2021-07-17,Brand B,It is just a good and quick service from them and they are friendly. I have lived here for five years now so know them pretty well and feel safe and sound in my new build home.,NENT010050006,What hyperparameters should I tune?,Shared Ownership,Cotherstone,46-60,Black,Maisonette
2023-05-05,Brand D,Very good service,Anonymous,How do I handle missing values?,Shared Ownership,Cotherstone,46-60,Asian,Maisonette
2023-02-08,Brand C,so far jobs have been carried out as promised,WORT020150001,Why is inference so slow on new data?,Shared Ownership,Etherley,46-60,White,House
2021-01-31,Brand C,"When you report jobs they come and do them straight away. I have lived here for ten years so I know them pretty well, apart from the repairs it is all OK, I feel safe and secure in my home.",Anonymous,How do I handle missing values?,Private Rental,Teesdale,36-45,White,Maisonette
2023-04-15,Brand B,They do a good job.,AYRE030310001,What hyperparameters should I tune?,Private Rental,NORTON,18-25,White,Bungalow
2022-02-12,Brand B,I have had no issues.,EMBL010020002,What causes high variance in predictions?,Private Rental,Stanley,46-60,Mixed,House
2022-08-02,Brand B,Very good housing and very friendly service,NENT010050006,How do I handle missing values?,Private Rental,Barnard Castle,60+,Asian,Maisonette
2024-03-01,Brand C,"I got everything sorted straight away, I had an emergency and they came out within an hour.",WORT020150001,Why is inference so slow on new data?,Private Rental,Darlington,26-35,Black,Flat
2022-11-20,Brand B,Very good housing and very friendly service,AYRE030310001,What hyperparameters should I tune?,Private Rental,Stokesley,60+,Black,House
2024-07-02,Brand D,"They are alright, I have no problems with them at all. I have lived here for over a year, it was a smooth process for me moving in and I have settled well. The move was a good one and I have had no issues.",BREN010210010,How can I improve model precision?,Freehold,Thornaby,36-45,Mixed,House
2024-02-07,Brand B,Generally rent is fair and necessary work and repairs are carried out saisfactorily,Anonymous,How do I handle missing values?,Private Rental,REDCAR,36-45,White,Flat
2024-08-14,Brand D,"I got everything sorted straight away, I had an emergency and they came out within an hour.",WELL020780003,What causes high variance in predictions?,Shared Ownership,REDCAR,18-25,Asian,House
2024-06-18,Brand B,"Every time I have reported anything I have needed doing the people have come out and have been responsible and courteous. They have also been clean and tidy and left the house as they found it and they have also done the job perfectly. Other than repairs, everything is also OK.",BREN010210010,How can I improve model precision?,Leasehold,Thornaby,36-45,Asian,Flat
2024-02-14,Brand A,"When I want anything doing it is done in good time and the workmen are always polite. I have lived here for a few years so I know them pretty well, apart from the repairs everything is fine with them.",WORT020150001,How can I improve model precision?,Leasehold,Stokesley,26-35,Other,Maisonette
2024-08-19,Brand C,so far jobs have been carried out as promised,Anonymous,What causes high variance in predictions?,Leasehold,Carlinhow,60+,White,Maisonette
2021-09-28,Brand D,"I am just happy, they come and see me, they come and check up on me regularly. The repair system is good though I am waiting for a repair at the moment. I have lived here for about twenty years so I know them pretty well.",Anonymous,How do I handle missing values?,Leasehold,Consett,36-45,Other,Flat
2023-09-16,Brand A,"I have had no problems at all with them. North Star do what is needed at the time, the repairs.",AIDA010040003,What causes high variance in predictions?,Freehold,Darlington,46-60,Other,Maisonette
2021-04-12,Brand C,It is just a good and quick service from them and they are friendly. I have lived here for five years now so know them pretty well and feel safe and sound in my new build home.,WELL020780003,What hyperparameters should I tune?,Leasehold,Middlesbrough,46-60,Other,House
2021-04-22,Brand C,"I am just happy, they come and see me, they come and check up on me regularly. The repair system is good though I am waiting for a repair at the moment. I have lived here for about twenty years so I know them pretty well.",PION020430001,Why is inference so slow on new data?,Leasehold,Thornaby,60+,Mixed,Flat
2021-02-12,Brand A,Whenever I have had a problem and rung up the office they have sorted it within a day. Nothing has been a problem for them and they have resolved my problems quickly and efficiently.,AIDA010040003,What causes high variance in predictions?,Freehold,Stanley,46-60,Mixed,Maisonette
2023-08-28,Brand D,From getting the phone call to offer me the house nicola was fantastic throughout it all,AYRE030310001,How do I handle missing values?,Leasehold,Evenwood,60+,Asian,Bungalow
2023-01-07,Brand D,because you are honnest,AYRE030310001,What hyperparameters should I tune?,Freehold,Stanley,18-25,Asian,House
2022-10-17,Brand B,"It is a brand new bungalow and everything in it is modern. I moved in in November 2021, so about 18 months ago. The process of moving in was all fine and there have been no major problems since though the garden is a bit large for me to maintain.",LARV020050005,Why is inference so slow on new data?,Shared Ownership,Etherley,36-45,Asian,Studio
2023-11-06,Brand B,This is because I have had no problems and there is nothing to complain about.,Anonymous,Why is inference so slow on new data?,Leasehold,Consett,26-35,Other,Maisonette
2023-03-31,Brand A,so far jobs have been carried out as promised,NENT010050006,What hyperparameters should I tune?,Freehold,Etherley,36-45,Black,Bungalow
2022-06-13,Brand C,Very good service,MITC021150001,Why is inference so slow on new data?,Private Rental,Cockfield,18-25,Mixed,Maisonette
2024-09-11,Brand C,"When I want anything doing it is done in good time and the workmen are always polite. I have lived here for a few years so I know them pretty well, apart from the repairs everything is fine with them.",Anonymous,Why is inference so slow on new data?,Leasehold,Hartlepool,36-45,White,Maisonette
2021-11-12,Brand B,Very good service,PLAN010590001,How do I handle missing values?,Private Rental,Sunderland,26-35,Mixed,House
2022-07-15,Brand A,I say that because they give a good service.,PARK030100001,What hyperparameters should I tune?,Leasehold,REDCAR,46-60,Asian,Bungalow
2022-12-16,Brand B,I am happy,PLAN010590001,Why is inference so slow on new data?,Leasehold,Etherley,18-25,Other,Studio
2021-09-18,Brand C,It is a good service.,Anonymous,How do I handle missing values?,Shared Ownership,Etherley,60+,Black,Bungalow
2021-10-13,Brand A,"Efficiency, reliability, prompt responses.",Anonymous,How do I handle missing values?,Private Rental,Darlington,60+,Black,Studio
2022-08-14,Brand B,"North Star do what they can. When you report a repair, they try and come out as quick as they can.",AIDA010040003,What hyperparameters should I tune?,Private Rental,Etherley,36-45,Other,Bungalow
2021-11-29,Brand B,"I am more than satisfied, they are there if you want anything and everything always gets dealt with. It does not matter how small the issue is, they will deal with it. It was strange when we were in lockdown but they still came out and what Ben needed was sorted by them until I arrived.",PLAN010590001,Why is inference so slow on new data?,Private Rental,Stockton,36-45,Black,Flat
2022-08-22,Brand C,They do a good job.,MILT010770106,How can I improve model precision?,Leasehold,Stockton,46-60,White,Bungalow
2024-02-07,Brand B,Workers great help respectful,ST P030840009,Why is inference so slow on new data?,Freehold,Staindrop,60+,Asian,Flat
2021-05-17,Brand C,Very good service,PION020430001,How can I improve model precision?,Private Rental,NORTON,36-45,Other,Bungalow
2023-02-18,Brand B,I have no problem with them.,Anonymous,How can I improve model precision?,Private Rental,Sunderland,36-45,Mixed,House
2021-08-18,Brand B,All and any issues resolved quickly,Anonymous,How do I handle missing values?,Freehold,Stockton,46-60,Other,Studio
2024-08-27,Brand A,Whenever I have had a problem and rung up the office they have sorted it within a day. Nothing has been a problem for them and they have resolved my problems quickly and efficiently.,ST P030840009,Why is inference so slow on new data?,Leasehold,Gainford,18-25,Mixed,House
2023-04-25,Brand D,"I have never had any problems at all with them. We have a brilliant Housing Officer and they do a lot of extras with regard to energy efficiency and the cost of living crisis. From the information they have sent they have been and checked all properties for extra efficiency on heating and made improvements where necessary and this has helped in general. Jane is the Housing Officer and she is great, if there is anything she can do she will. Over the years she has helped with my Daughter and arranged improvement work to be carried out. She is always available and will put in place anything that is needed.",Anonymous,How can I improve model precision?,Leasehold,Gainford,36-45,Other,Flat
2021-09-16,Brand C,"I have never had any problems at all with them. We have a brilliant Housing Officer and they do a lot of extras with regard to energy efficiency and the cost of living crisis. From the information they have sent they have been and checked all properties for extra efficiency on heating and made improvements where necessary and this has helped in general. Jane is the Housing Officer and she is great, if there is anything she can do she will. Over the years she has helped with my Daughter and arranged improvement work to be carried out. She is always available and will put in place anything that is needed.",BALD010050001,What causes high variance in predictions?,Shared Ownership,NORTON,36-45,Mixed,House
2024-09-08,Brand C,"The maintenance men, I had a gutter leak and they came and mended it in one place but they did not check the rest of it. So, next time it rained leaked elsewhere. They did not check it properly. There is nothing really that they do that is that good.",PLAN010590001,How can I improve model precision?,Leasehold,Stokesley,46-60,White,House
2023-09-02,Brand B,"Every time I ring them for a repair I get it done straight away, I do not have to wait months for jobs to be done. Apart from the repairs everything is OK, the neighborhood is OK and I feel safe and secure in my home!",NENT010050006,Why is inference so slow on new data?,Leasehold,Hartlepool,18-25,Asian,House
2023-01-30,Brand A,"The maintenance men, I had a gutter leak and they came and mended it in one place but they did not check the rest of it. So, next time it rained leaked elsewhere. They did not check it properly. There is nothing really that they do that is that good.",EMBL010020002,What causes high variance in predictions?,Shared Ownership,Cockfield,60+,Other,Flat
2021-07-20,Brand C,"If we got a problem we ring them up, they know I am old and disabled and they are very quick to respond.",Anonymous,What hyperparameters should I tune?,Leasehold,Sunderland,36-45,Other,House
2022-01-24,Brand B,They do a good job.,PLAN010590001,What hyperparameters should I tune?,Shared Ownership,Darlington,36-45,Other,Flat
2021-03-04,Brand B,"The maintenance men, I had a gutter leak and they came and mended it in one place but they did not check the rest of it. So, next time it rained leaked elsewhere. They did not check it properly. There is nothing really that they do that is that good.",PARK030100001,How do I handle missing values?,Private Rental,Gainford,18-25,Other,Bungalow
2024-07-28,Brand B,If I need any repairs  done they come straight out or come out the next day,AYRE030310001,What hyperparameters should I tune?,Shared Ownership,Carlinhow,46-60,Mixed,Maisonette
2022-08-04,Brand A,I have no problem with them.,Anonymous,How do I handle missing values?,Leasehold,Darlington,26-35,Mixed,Studio
2024-11-19,Brand C,Very good housing and very friendly service,PLAN010590001,What hyperparameters should I tune?,Shared Ownership,REDCAR,36-45,White,Bungalow
2024-07-14,Brand A,"When you report jobs they come and do them straight away. I have lived here for ten years so I know them pretty well, apart from the repairs it is all OK, I feel safe and secure in my home.",AIDA010040003,Why is inference so slow on new data?,Private Rental,Barnard Castle,36-45,Mixed,Studio
2023-06-29,Brand D,"If we have ever reported any defects, they done them immediately.",MANS010810009,What causes high variance in predictions?,Freehold,Teesdale,46-60,Black,Bungalow
2022-01-26,Brand B,They do a good job.,AIDA010040003,What causes high variance in predictions?,Freehold,Cockfield,26-35,Other,Flat
2021-12-27,Brand A,"When you report jobs they come and do them straight away. I have lived here for ten years so I know them pretty well, apart from the repairs it is all OK, I feel safe and secure in my home.",Anonymous,Why is inference so slow on new data?,Freehold,REDCAR,60+,Asian,House
2023-12-24,Brand A,All and any issues resolved quickly,NENT010050006,What causes high variance in predictions?,Shared Ownership,Gainford,36-45,Asian,Maisonette
2024-04-30,Brand D,Made sure that I got my heating and hot water back on the same day he arrived,WELL020780003,Why is inference so slow on new data?,Leasehold,Skinningrove,46-60,Other,Maisonette
2022-10-01,Brand C,It is just a good and quick service from them and they are friendly. I have lived here for five years now so know them pretty well and feel safe and sound in my new build home.,ST P030840009,How can I improve model precision?,Private Rental,Evenwood,18-25,Asian,House
2024-04-03,Brand B,It is a good service.,ST P030840009,How do I handle missing values?,Leasehold,Carlinhow,46-60,Other,House
2021-03-13,Brand B,They do a good job.,PION020430001,How do I handle missing values?,Freehold,Cockfield,26-35,White,House
2024-01-09,Brand C,"Prompt repair, lovely repair man and a job well done",Anonymous,How do I handle missing values?,Freehold,Cotherstone,46-60,White,House
2024-08-06,Brand A,because you are honnest,WINS010010001,What hyperparameters should I tune?,Leasehold,Sunderland,26-35,Other,Flat
2023-04-28,Brand B,When they come out they are great and do a good job. I do have a complaint as the girl who is in charge around here was up here. My husband told her that the front door archway the concrete is coming off and nothing was done about it.,PLAN010590001,What causes high variance in predictions?,Private Rental,Stockton,60+,White,House
2021-06-25,Brand D,"Any repairs or things that go wrong, North Star do them as soon as they can do.",NENT010050006,What causes high variance in predictions?,Leasehold,Skinningrove,60+,Asian,Maisonette
2021-12-20,Brand C,"I just think that they are great. Of all the other Landlords I have had they have never done repairs but these are different. I moved in in August, I was gifted carpets and had a paint card to decorate. I have had the boiler down twice, I cannot fault them, it is working OK at the moment. We had knocked the radiator and that caused the problem.",COPE010190002,Why is inference so slow on new data?,Shared Ownership,Darlington,26-35,Black,Maisonette
2021-07-06,Brand D,"The maintenance men, I had a gutter leak and they came and mended it in one place but they did not check the rest of it. So, next time it rained leaked elsewhere. They did not check it properly. There is nothing really that they do that is that good.",PION020430001,What causes high variance in predictions?,Private Rental,Stanley,60+,Mixed,Maisonette
2022-06-05,Brand C,I have had no issues.,PARK030100001,What causes high variance in predictions?,Freehold,Thornaby,60+,White,Maisonette
2021-10-09,Brand C,They do a good job.,LARV020050005,How do I handle missing values?,Private Rental,Hartlepool,18-25,Mixed,Studio
2022-08-06,Brand C,They help me out a lot.,MANS010810009,How do I handle missing values?,Leasehold,Sunderland,18-25,White,Maisonette
2021-12-14,Brand C,I have had no issues.,MANS010810009,How can I improve model precision?,Freehold,Gainford,18-25,White,Maisonette
2022-05-19,Brand D,so far jobs have been carried out as promised,BREN010210010,Why is inference so slow on new data?,Private Rental,Thornaby,46-60,Asian,Maisonette
2023-08-28,Brand C,"Efficiency, reliability, prompt responses.",WORT020150001,Why is inference so slow on new data?,Private Rental,Sunderland,60+,Black,House
2021-09-07,Brand D,Generally rent is fair and necessary work and repairs are carried out saisfactorily,PION020430001,How do I handle missing values?,Leasehold,Etherley,26-35,White,Maisonette
2022-06-30,Brand D,"Any repairs or things that go wrong, North Star do them as soon as they can do.",EMBL010020002,What hyperparameters should I tune?,Shared Ownership,NORTON,18-25,Asian,Maisonette
2024-01-10,Brand D,This is because I have had no problems and there is nothing to complain about.,MITC021150001,What hyperparameters should I tune?,Shared Ownership,Stockton,18-25,Asian,Bungalow
2021-09-01,Brand C,"It is a brand new bungalow and everything in it is modern. I moved in in November 2021, so about 18 months ago. The process of moving in was all fine and there have been no major problems since though the garden is a bit large for me to maintain.",Anonymous,How do I handle missing values?,Freehold,Stockton,60+,Other,Flat
2024-03-06,Brand C,"very prompt with repairs. The staff are great, always ready to help.  inside doors are very dated, but all in all everything else is good.",Anonymous,How do I handle missing values?,Shared Ownership,Carlinhow,46-60,Black,Bungalow
2023-12-19,Brand C,"I just think that they are great. Of all the other Landlords I have had they have never done repairs but these are different. I moved in in August, I was gifted carpets and had a paint card to decorate. I have had the boiler down twice, I cannot fault them, it is working OK at the moment. We had knocked the radiator and that caused the problem.",BALD010050001,Why is inference so slow on new data?,Shared Ownership,Carlinhow,36-45,Mixed,House
2023-06-06,Brand C,"It is a brand new bungalow and everything in it is modern. I moved in in November 2021, so about 18 months ago. The process of moving in was all fine and there have been no major problems since though the garden is a bit large for me to maintain.",MANS010810009,How can I improve model precision?,Private Rental,Carlinhow,60+,Other,Maisonette
2024-05-09,Brand B,All and any issues resolved quickly,PARK030100001,How can I improve model precision?,Freehold,REDCAR,26-35,Asian,Studio
2021-07-19,Brand D,"I got everything sorted straight away, I had an emergency and they came out within an hour.",Anonymous,How can I improve model precision?,Leasehold,Thornaby,26-35,White,Flat
2024-01-11,Brand A,It is a good service.,BREN010210010,What causes high variance in predictions?,Leasehold,Skinningrove,46-60,White,Maisonette
2023-12-24,Brand D,great service,MILT010770106,What hyperparameters should I tune?,Leasehold,Evenwood,26-35,Black,Studio
2024-12-04,Brand D,I have no problem with them.,WELL020780003,What hyperparameters should I tune?,Private Rental,Evenwood,26-35,Asian,Studio
2021-06-26,Brand C,Servicing is kept up to date and I’ve just had a full electrical check which makes me feel safe,Anonymous,How can I improve model precision?,Freehold,Barnard Castle,36-45,Asian,Bungalow
2022-07-28,Brand C,"The maintenance men, I had a gutter leak and they came and mended it in one place but they did not check the rest of it. So, next time it rained leaked elsewhere. They did not check it properly. There is nothing really that they do that is that good.",LARV020050005,What causes high variance in predictions?,Freehold,Stockton,18-25,White,House
2023-01-21,Brand B,It is a good service.,Anonymous,What hyperparameters should I tune?,Freehold,THIRSK,36-45,Asian,Maisonette
2024-11-10,Brand C,Keep you updated,BREN010210010,Why is inference so slow on new data?,Private Rental,Middlesbrough,18-25,Black,Studio
2024-06-15,Brand A,All and any issues resolved quickly,WINS010010001,What causes high variance in predictions?,Freehold,Barnard Castle,60+,Black,Studio
2021-09-19,Brand A,"very prompt with repairs. The staff are great, always ready to help.  inside doors are very dated, but all in all everything else is good.",LARV020050005,Why is inference so slow on new data?,Leasehold,Sunderland,26-35,Other,Bungalow
2021-05-22,Brand A,When they come out they are great and do a good job. I do have a complaint as the girl who is in charge around here was up here. My husband told her that the front door archway the concrete is coming off and nothing was done about it.,Anonymous,How do I handle missing values?,Leasehold,NORTON,26-35,Black,Studio
2023-05-02,Brand D,"Every time I have to call them out they do a good job. I have lived here for 15 years so I know them pretty well. Apart from the repairs everything is good, the Neighbours and the area are fine.",Anonymous,What causes high variance in predictions?,Leasehold,Consett,46-60,White,Flat
2022-01-12,Brand A,great service,Anonymous,How can I improve model precision?,Freehold,Skinningrove,36-45,Asian,Bungalow
2024-08-06,Brand D,"Prompt repair, lovely repair man and a job well done",MITC021150001,How can I improve model precision?,Leasehold,Consett,18-25,Black,Bungalow
2024-03-18,Brand C,"I have never had any problems at all with them. We have a brilliant Housing Officer and they do a lot of extras with regard to energy efficiency and the cost of living crisis. From the information they have sent they have been and checked all properties for extra efficiency on heating and made improvements where necessary and this has helped in general. Jane is the Housing Officer and she is great, if there is anything she can do she will. Over the years she has helped with my Daughter and arranged improvement work to be carried out. She is always available and will put in place anything that is needed.",COPE010190002,Why is inference so slow on new data?,Private Rental,Thornaby,46-60,Mixed,House
2022-11-13,Brand B,"If we have ever reported any defects, they done them immediately.",COPE010190002,What causes high variance in predictions?,Private Rental,Consett,46-60,Mixed,Studio
2021-03-21,Brand A,Whenever I have had a problem and rung up the office they have sorted it within a day. Nothing has been a problem for them and they have resolved my problems quickly and efficiently.,LARV020050005,How can I improve model precision?,Freehold,Gainford,36-45,Mixed,Maisonette
2023-06-09,Brand C,"When I want anything doing it is done in good time and the workmen are always polite. I have lived here for a few years so I know them pretty well, apart from the repairs everything is fine with them.",MANS010810009,How do I handle missing values?,Private Rental,Stockton,60+,Mixed,House
2022-11-09,Brand D,I have had no issues.,Anonymous,Why is inference so slow on new data?,Freehold,Middlesbrough,60+,Other,Maisonette
2022-12-08,Brand B,"Every time I ring them for a repair I get it done straight away, I do not have to wait months for jobs to be done. Apart from the repairs everything is OK, the neighborhood is OK and I feel safe and secure in my home!",WELL020780003,How do I handle missing values?,Leasehold,Skinningrove,26-35,Other,House
2024-12-14,Brand C,This is because I have had no problems and there is nothing to complain about.,AYRE030310001,How can I improve model precision?,Private Rental,Cotherstone,36-45,Black,House
2021-10-14,Brand A,It is just a good and quick service from them and they are friendly. I have lived here for five years now so know them pretty well and feel safe and sound in my new build home.,Anonymous,How can I improve model precision?,Private Rental,Consett,46-60,Asian,Maisonette
2022-10-11,Brand A,great service,PION020430001,What causes high variance in predictions?,Leasehold,Gainford,46-60,Black,Maisonette
2024-12-28,Brand B,"Efficiency, reliability, prompt responses.",PION020430001,What causes high variance in predictions?,Leasehold,Gainford,60+,Mixed,Flat
2022-11-28,Brand A,I have no problem with them.,Anonymous,Why is inference so slow on new data?,Shared Ownership,Stokesley,36-45,Other,House
2024-03-05,Brand A,"I have had no problems at all with them. North Star do what is needed at the time, the repairs.",COPE010190002,Why is inference so slow on new data?,Freehold,Stanley,26-35,Black,Bungalow
2021-11-05,Brand A,Very good housing and very friendly service,COPE010190002,Why is inference so slow on new data?,Freehold,Middlesbrough,26-35,Black,House
2024-12-23,Brand D,"I am just happy, they come and see me, they come and check up on me regularly. The repair system is good though I am waiting for a repair at the moment. I have lived here for about twenty years so I know them pretty well.",BREN010210010,What hyperparameters should I tune?,Freehold,Stanley,26-35,Asian,Studio
2022-03-27,Brand D,It is a good service.,PLAN010590001,What causes high variance in predictions?,Shared Ownership,Evenwood,26-35,Asian,Studio
2024-03-01,Brand D,"When you report jobs they come and do them straight away. I have lived here for ten years so I know them pretty well, apart from the repairs it is all OK, I feel safe and secure in my home.",WORT020150001,What hyperparameters should I tune?,Shared Ownership,Stockton,60+,Asian,Studio
2024-09-01,Brand D,"Every time I ring them for a repair I get it done straight away, I do not have to wait months for jobs to be done. Apart from the repairs everything is OK, the neighborhood is OK and I feel safe and secure in my home!",PION020430001,What hyperparameters should I tune?,Shared Ownership,Staindrop,60+,Black,Bungalow
2021-05-27,Brand A,"I have never had any problems at all with them. We have a brilliant Housing Officer and they do a lot of extras with regard to energy efficiency and the cost of living crisis. From the information they have sent they have been and checked all properties for extra efficiency on heating and made improvements where necessary and this has helped in general. Jane is the Housing Officer and she is great, if there is anything she can do she will. Over the years she has helped with my Daughter and arranged improvement work to be carried out. She is always available and will put in place anything that is needed.",AYRE030310001,What causes high variance in predictions?,Shared Ownership,Stokesley,18-25,White,Maisonette
2023-09-28,Brand D,"Any repairs or things that go wrong, North Star do them as soon as they can do.",WINS010010001,Why is inference so slow on new data?,Freehold,Evenwood,46-60,White,House
2022-09-30,Brand C,"I have never had any problems at all with them. We have a brilliant Housing Officer and they do a lot of extras with regard to energy efficiency and the cost of living crisis. From the information they have sent they have been and checked all properties for extra efficiency on heating and made improvements where necessary and this has helped in general. Jane is the Housing Officer and she is great, if there is anything she can do she will. Over the years she has helped with my Daughter and arranged improvement work to be carried out. She is always available and will put in place anything that is needed.",PLAN010590001,Why is inference so slow on new data?,Leasehold,Consett,18-25,Mixed,Maisonette
2021-10-16,Brand D,"When I want anything doing it is done in good time and the workmen are always polite. I have lived here for a few years so I know them pretty well, apart from the repairs everything is fine with them.",ST P030840009,How can I improve model precision?,Shared Ownership,Carlinhow,46-60,Asian,Flat
2023-08-17,Brand A,"When I want anything doing it is done in good time and the workmen are always polite. I have lived here for a few years so I know them pretty well, apart from the repairs everything is fine with them.",COPE010190002,What causes high variance in predictions?,Leasehold,Stanley,60+,Asian,Studio
2021-10-09,Brand D,great service,MITC021150001,How can I improve model precision?,Leasehold,Darlington,26-35,Other,Bungalow
2024-09-02,Brand C,"very prompt with repairs. The staff are great, always ready to help.  inside doors are very dated, but all in all everything else is good.",WORT020150001,Why is inference so slow on new data?,Private Rental,Middlesbrough,18-25,Mixed,Flat
2024-08-25,Brand B,"I am more than satisfied, they are there if you want anything and everything always gets dealt with. It does not matter how small the issue is, they will deal with it. It was strange when we were in lockdown but they still came out and what Ben needed was sorted by them until I arrived.",WELL020780003,What hyperparameters should I tune?,Private Rental,Barnard Castle,60+,Asian,Bungalow
2023-07-28,Brand C,All and any issues resolved quickly,PLAN010590001,Why is inference so slow on new data?,Private Rental,REDCAR,18-25,Other,Bungalow
2021-08-08,Brand B,I have had no issues.,ST P030840009,How do I handle missing values?,Private Rental,Etherley,46-60,Asian,Maisonette
2023-09-22,Brand A,It is just a good and quick service from them and they are friendly. I have lived here for five years now so know them pretty well and feel safe and sound in my new build home.,WELL020780003,How do I handle missing values?,Leasehold,THIRSK,46-60,Other,House
2021-07-26,Brand D,"If we got a problem we ring them up, they know I am old and disabled and they are very quick to respond.",WINS010010001,What causes high variance in predictions?,Private Rental,Skinningrove,18-25,Mixed,Studio
2022-07-12,Brand A,This is because I have had no problems and there is nothing to complain about.,PION020430001,How do I handle missing values?,Private Rental,NORTON,36-45,Asian,Studio
2021-11-13,Brand C,"Every time I have reported anything I have needed doing the people have come out and have been responsible and courteous. They have also been clean and tidy and left the house as they found it and they have also done the job perfectly. Other than repairs, everything is also OK.",WELL020780003,Why is inference so slow on new data?,Leasehold,Stokesley,36-45,Black,Studio
2023-10-07,Brand D,If I am needing repairs doing they will do them! There is not much that they will not do. I have lived here for 15 months now so I am still fairly new it has all been brilliant including the process for moving in to the property.,EMBL010020002,Why is inference so slow on new data?,Private Rental,Barnard Castle,60+,White,House
2022-01-08,Brand B,Very good housing and very friendly service,MILT010770106,How can I improve model precision?,Freehold,Cockfield,36-45,White,Bungalow
2021-10-11,Brand B,If I need any repairs  done they come straight out or come out the next day,PLAN010590001,What hyperparameters should I tune?,Shared Ownership,Consett,46-60,Asian,Bungalow
2022-05-10,Brand D,All and any issues resolved quickly,EMBL010020002,What hyperparameters should I tune?,Leasehold,Consett,46-60,Other,House
2023-11-10,Brand B,"As soon as you call and report something they come and get the job done, there is no waiting about. Apart from the repairs everything is also OK, the neighborhood is nice and quiet, we are in a cul-de-sac.",MILT010770106,How do I handle missing values?,Private Rental,NORTON,36-45,Other,Bungalow
2024-09-21,Brand C,All and any issues resolved quickly,WORT020150001,What causes high variance in predictions?,Freehold,Stockton,60+,Mixed,Maisonette
2022-11-24,Brand A,"If we have ever reported any defects, they done them immediately.",ST P030840009,How can I improve model precision?,Shared Ownership,Etherley,26-35,Other,Studio
2022-09-03,Brand B,"I got everything sorted straight away, I had an emergency and they came out within an hour.",PLAN010590001,How can I improve model precision?,Private Rental,Teesdale,46-60,Other,House
2024-07-10,Brand C,I have no problem with them.,WORT020150001,What causes high variance in predictions?,Leasehold,Cotherstone,36-45,Black,Bungalow
2024-12-06,Brand B,I have had no issues.,Anonymous,How do I handle missing values?,Freehold,Stockton,46-60,Other,Maisonette
2023-09-14,Brand B,Workers great help respectful,PARK030100001,Why is inference so slow on new data?,Leasehold,Stockton,18-25,Other,Flat
2022-05-01,Brand D,great service,Anonymous,What hyperparameters should I tune?,Private Rental,NORTON,18-25,Mixed,Maisonette
2022-01-12,Brand D,I have had no issues.,Anonymous,How can I improve model precision?,Leasehold,THIRSK,46-60,Asian,House
2023-04-21,Brand B,"I just think that they are great. Of all the other Landlords I have had they have never done repairs but these are different. I moved in in August, I was gifted carpets and had a paint card to decorate. I have had the boiler down twice, I cannot fault them, it is working OK at the moment. We had knocked the radiator and that caused the problem.",PLAN010590001,What causes high variance in predictions?,Freehold,Carlinhow,36-45,Other,Flat
2022-03-06,Brand D,"I am just happy, they come and see me, they come and check up on me regularly. The repair system is good though I am waiting for a repair at the moment. I have lived here for about twenty years so I know them pretty well.",LARV020050005,What hyperparameters should I tune?,Private Rental,THIRSK,46-60,Mixed,Bungalow
2022-03-17,Brand C,Very good service,Anonymous,Why is inference so slow on new data?,Private Rental,Carlinhow,26-35,Mixed,Bungalow
2023-03-23,Brand B,"Everything is going good, when I need something it is done quickly.",PION020430001,Why is inference so slow on new data?,Leasehold,Cotherstone,36-45,Mixed,Flat
2021-12-02,Brand B,They do a good job.,COPE010190002,What hyperparameters should I tune?,Private Rental,Gainford,36-45,Asian,Studio
2023-07-17,Brand C,I have had no issues.,Anonymous,What causes high variance in predictions?,Freehold,Darlington,18-25,Asian,Flat
2021-01-09,Brand B,"They are alright, I have no problems with them at all. I have lived here for over a year, it was a smooth process for me moving in and I have settled well. The move was a good one and I have had no issues.",ST P030840009,What hyperparameters should I tune?,Freehold,NORTON,36-45,White,Flat
2022-04-13,Brand B,"very prompt with repairs. The staff are great, always ready to help.  inside doors are very dated, but all in all everything else is good.",Anonymous,How can I improve model precision?,Private Rental,REDCAR,36-45,Other,Bungalow
2024-08-02,Brand A,If I am needing repairs doing they will do them! There is not much that they will not do. I have lived here for 15 months now so I am still fairly new it has all been brilliant including the process for moving in to the property.,MANS010810009,How can I improve model precision?,Shared Ownership,Cotherstone,36-45,Black,Bungalow
2023-08-21,Brand A,"They are alright, I have no problems with them at all. I have lived here for over a year, it was a smooth process for me moving in and I have settled well. The move was a good one and I have had no issues.",Anonymous,How do I handle missing values?,Freehold,Gainford,46-60,Other,Studio
2021-06-10,Brand B,Generally rent is fair and necessary work and repairs are carried out saisfactorily,Anonymous,How can I improve model precision?,Leasehold,Thornaby,60+,Other,Flat
2024-07-11,Brand B,"I am more than satisfied, they are there if you want anything and everything always gets dealt with. It does not matter how small the issue is, they will deal with it. It was strange when we were in lockdown but they still came out and what Ben needed was sorted by them until I arrived.",PARK030100001,How do I handle missing values?,Freehold,Carlinhow,26-35,Mixed,House
2021-12-04,Brand A,"It is a brand new bungalow and everything in it is modern. I moved in in November 2021, so about 18 months ago. The process of moving in was all fine and there have been no major problems since though the garden is a bit large for me to maintain.",WORT020150001,How do I handle missing values?,Leasehold,Consett,18-25,Asian,Maisonette
